,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Name,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure
21,12441,95,4,4/3/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874,Talbot ,Male,33,61.6,,IT,Mass Customer,No,7
22,14648,62,4,6/18/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143,Talbot ,Male,33,61.6,,IT,Mass Customer,No,7
23,2250,34,5,8/16/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
24,2291,23,5,3/3/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
25,2534,84,5,5/3/2017,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,37626,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
26,7692,39,5,12/14/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,39526,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
27,13058,96,5,5/26/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,33364,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
28,19993,13,5,4/28/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,39880,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
29,902,0,6,5/21/2017,0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
30,4013,0,6,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,36361,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
31,5749,54,6,10/27/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,40410,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
32,7096,77,6,1/28/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
33,8204,12,6,2/6/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
34,3954,5,7,4/21/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258,Fina Merali,Female,6,47.2,,Financial Services,Affluent Customer,Yes,11
35,18369,72,7,2/18/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37499,Fina Merali,Female,6,47.2,,Financial Services,Affluent Customer,Yes,11
36,18549,22,7,2/24/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42404,Fina Merali,Female,6,47.2,,Financial Services,Affluent Customer,Yes,11
37,3688,15,8,9/22/2017,1,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
38,5321,3,8,12/8/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
39,7636,34,8,7/13/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,41064,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
40,8415,76,8,4/11/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
41,9039,4,8,10/21/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
42,10792,89,8,1/4/2017,1,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,42560,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
43,13266,4,8,10/4/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
44,15024,1,8,4/21/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,35667,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
45,17199,45,8,8/11/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,42172,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
46,2501,59,9,5/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,42172,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
47,2979,85,9,3/6/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36367,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
48,4233,36,9,10/13/2017,0,Approved,Solex,Standard,low,medium,945.04,507.58,40336,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
49,8591,69,9,2/4/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
50,9405,6,9,8/20/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
51,10662,38,9,9/30/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40336,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
52,4565,5,10,8/26/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
53,5956,21,10,6/20/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,34115,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
54,10250,44,10,7/13/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,39427,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
55,14899,69,10,8/9/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
56,18946,53,10,11/17/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
57,6004,28,11,4/2/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
58,9240,10,11,10/30/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
59,10444,30,11,8/2/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,33552,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
60,14370,10,11,7/9/2017,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
61,18879,4,11,11/14/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
62,5985,39,12,8/21/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
63,6705,72,12,9/4/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
64,6741,72,12,2/12/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
65,12242,91,12,7/23/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
66,13818,44,12,8/21/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
67,14250,34,12,10/24/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
68,19219,28,12,9/16/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
69,8905,66,13,2/16/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,35378,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
70,11839,9,13,8/2/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
71,13486,17,13,11/17/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
72,15101,49,13,3/1/2017,1,Approved,Solex,Standard,medium,large,1061.56,733.58,36146,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
73,17639,0,13,12/3/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,41922,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
74,17763,92,13,1/6/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
75,19988,0,13,4/5/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42105,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
76,6044,56,14,11/13/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707,Rayshell Kitteman,Female,85,40.11,Account Executive,Financial Services,Affluent Customer,No,6
77,16253,68,14,5/11/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410,Rayshell Kitteman,Female,85,40.11,Account Executive,Financial Services,Affluent Customer,No,6
78,19381,23,14,10/27/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244,Rayshell Kitteman,Female,85,40.11,Account Executive,Financial Services,Affluent Customer,No,6
79,434,67,15,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
80,7896,26,15,7/30/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
81,10707,41,15,9/20/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,35560,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
82,11788,33,15,6/7/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
83,17528,2,15,1/20/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
84,17963,81,15,11/25/2017,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
85,1405,3,16,8/17/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37220,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
86,5083,94,16,5/10/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39915,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
87,13585,68,16,9/22/2017,1,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,42172,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
88,14760,96,16,2/12/2017,0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,40336,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
89,17935,99,16,7/31/2017,0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,33364,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
90,1404,62,17,3/14/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,33879,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
91,5316,78,17,11/14/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42218,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
92,10775,1,17,5/1/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38573,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
93,12747,70,17,10/11/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,36668,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
94,17135,49,17,12/30/2017,0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,35707,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
95,3506,87,18,7/15/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
96,3777,11,18,5/11/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
97,7092,97,18,3/25/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
98,8622,94,18,5/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
99,11227,40,18,7/5/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
100,11922,10,18,6/24/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
101,17282,16,18,8/18/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
102,4664,7,19,1/31/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,Sorcha Keyson,Female,76,22.04,Geological Engineer,Manufacturing,High Net Worth,No,1
103,14850,87,19,3/25/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410,Sorcha Keyson,Female,76,22.04,Geological Engineer,Manufacturing,High Net Worth,No,1
104,6657,4,20,11/1/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698,Basile Firth,Male,72,42.72,Project Manager,Manufacturing,Mass Customer,No,11
105,11330,94,20,11/29/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427,Basile Firth,Male,72,42.72,Project Manager,Manufacturing,Mass Customer,No,11
106,14766,48,20,11/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,42688,Basile Firth,Male,72,42.72,Project Manager,Manufacturing,Mass Customer,No,11
107,18030,3,20,6/11/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499,Basile Firth,Male,72,42.72,Project Manager,Manufacturing,Mass Customer,No,11
108,2932,37,21,8/17/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
109,4778,3,21,10/22/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
110,8915,72,21,12/24/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
111,14115,25,21,2/12/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
112,19616,16,21,11/17/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34165,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
113,118,20,22,3/21/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
114,3480,32,22,9/18/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
115,3504,38,22,7/16/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
116,4601,65,22,5/29/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
117,8207,53,22,9/19/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
118,14956,45,22,9/24/2017,1,Approved,Solex,Standard,medium,medium,441.49,84.99,34071,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
119,16626,100,22,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
120,17002,64,22,1/6/2017,1,Cancelled,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
121,5598,85,23,12/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,42226,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
122,7429,54,23,10/6/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42710,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
123,7951,19,23,8/3/2017,1,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,39298,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
124,15587,77,23,10/9/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
125,17698,98,23,5/16/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,34170,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
126,18219,0,23,3/27/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
127,1783,53,24,12/13/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35707,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
128,9249,52,24,11/13/2017,1,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,39915,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
129,14099,89,24,10/12/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,38482,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
130,15874,11,24,5/13/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39880,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
131,15926,2,24,1/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41167,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
132,19078,40,24,10/31/2017,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39526,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
133,19263,76,24,10/5/2017,1,Approved,WeareA2B,Standard,low,medium,642.31,513.85,40553,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
134,2354,53,25,3/4/2017,1,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
135,4309,39,25,5/23/2017,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
136,5770,41,25,9/4/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,39526,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
137,6552,54,25,4/15/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,42295,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
138,7196,18,25,11/23/2017,0,Approved,Solex,Standard,medium,medium,575.27,431.45,40670,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
139,9193,6,25,9/17/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
140,10224,59,25,7/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,36146,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
141,11765,6,25,3/8/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,38258,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
142,15291,28,25,4/1/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,39031,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
143,16026,22,25,2/8/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42696,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
144,17826,78,25,12/25/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
145,19252,67,25,12/1/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,37499,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
146,3749,96,26,4/15/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,38002,Trixi Ginnelly,Female,12,44.9,Editor,Financial Services,Mass Customer,Yes,16
147,7674,80,26,4/2/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35667,Trixi Ginnelly,Female,12,44.9,Editor,Financial Services,Mass Customer,Yes,16
148,849,57,27,7/18/2017,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,42145,Garvin Klees,Male,37,44.61,Research Nurse,Health,Mass Customer,Yes,12
